topic,review_text
Customer Service Feedback,"horrible. blinkit was okay, but zomato terrible. deleted my profile with them."
Customer Service Feedback,they need to improve on their support team
Delivery Issues,i got wrong order and there is no response from zomato
General Feedback,the app is nice to delivery food
Delivery Partner Feedback,the delivery is fast and delivery man are very polite ...
General Feedback,i just love zomato!!! it is so helpfull.
App Performance,"new ""for you"" rating idea sucks please change it back to cumulative rating of all people.. this does not work the same way and becomes extremely biased. please change it back, there was faith in your app, now it's like your cheating to help restaurants."
General Feedback,zomato k waja se aaj k time mei koi bukha nhi soo sakta 
Pricing Feedback,amazing but there should be more offers or cash back or buy one get one
General Feedback,such a beautiful experience i have each and every time... thank you zomato and also all my delivery partner 
Delivery Issues,worst service. please don't use this app. when u order for ur hunger they ll delay it more than the promised time atleast a hour extra. and when i asked to cancel my order and asked for refund they are just cheating me by paying amount paid is not refundable. i have screenshot of all chats which happened.
Pricing Feedback,delivery charges rak lo but platform mat lo
Customer Service Feedback,very bad experience again there is no option to share the video in the chat box and repeatedly asking for video
Delivery Issues,service getting worst day by day. vary bad experience today in 2 orders. received different variant and no proper response from zomato.
Delivery Issues,"in recent times , the authority, service provider, found non co-operative & relactent , to provide services as ordered food items shows cancelled by their system somehow as well as unnecessary delay to deliver food items ..."
General Feedback,very nice app for office peoples
Pricing Feedback,one star less for the excessive delivery charges.
General Feedback,"this app gives more offers and coupons compared to other platforms, and informs us if delivery partner is available before ordering"
General Feedback,not getting coupons nowadays like before
Customer Service Feedback,great management and customer support
Customer Service Feedback,the worst service i have ever seen the customer care support
General Feedback,good experience faster than others
General Feedback,zomato give me nice discount
Customer Service Feedback,worst app ever just doing frauds
Delivery Issues,"worst app!!! after this automated ai reply, it just constant loop only delivered wrong order, not even refunded the money my 500rs total waste."
Delivery Issues,first ye mention karte hai ye kya every food delivery wale that time period rehta hai 35-40 min or aap wait karenge uske baad inka time period jese hi 15 min ho jata hai uske baad kisi ka time ruke na ruke inka jarur rukta hai i don't why but esa hai or iske liye ye kuch nhi bolte or i know ki bhai ek delevery boy kafi jagah delevery karega food to bhai mention to karo ki that's wo banda kahin or bhi delevery lega jitni der ye delevery me lagate h utne me aap khud restro se leke aa jaoge
General Feedback,zomato is a very good quality app i will always prefer zomato first 🥇
General Feedback,fast delivery with neat & kind person
Delivery Issues,"i have ordered from kfc but one item missing that is pepsi pet 475 ml. there is no any customer support i found from zomato app to get solution, order no/invoice no-k3700612 dated 07/02/2025"
General Feedback,always convenient and flexible all over india 
Customer Service Feedback,kuch nhi ho sakta... aaj fir order kra 02/07/2025 or fir whi gatiya company fraud delivery boys.....
General Feedback,very good app and india best food delivery app🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🫡🫡🫡🫡
Customer Service Feedback,"it's horrible day by day, finally uninstalled today"
General Feedback,very good application for order foods and it have many of discounts
General Feedback,tomato  zomato always takes care of us. big fan of deepinder
Delivery Issues,"most of the time great, but sometimes order me hera feri ho jata hai. specially late nights"
Delivery Issues,restaurants always closed/ not delivering
Service Feedback,good service and more food options.
Delivery Issues,"pathetic tactics used by zomato, promising fast delivery with zomato gold subscription and then clubbing multiple orders together which makes the wait almost double, rather use swiggy than this"
Payment Feedback,everything is good but the problem is it does not refund when order is cancelled and sometimes it don't even cancel the order and interrogates a lot.
Pricing Feedback,60 rupees additional compared to the charges what actually paid at the restaurant on my main course but on time delivery and fuel charge if u avade really worth bro
Service Feedback,i always gets best offers and best delivery experience from zomato
General Feedback,soo good service provided by the company
Delivery Issues,sucks please don't use this app has no regards to time and also is too fraud i don't recommend this company
Service Requests,i'm happy using zomato. missing their daily meals option during office day hours.
General Feedback,i apologise for that . brilliant service & great idea.
General Feedback,awesome app for food delivery and best for dine in services. i love the service of zomato. 
General Feedback,it' be honest i love it zomato
General Feedback,tushar is good delevery boy
General Feedback,this is value for money and deliver fast
General Feedback,east or west zomato is best... always gives great offers.. and prompt back end support...
App Performance,logo kaa kaat rha h dabaa ke
Feature Requests,they should give more offers
Food Quality,bahut hi ghatiya khana dete hain
Food Quality,खराब खाना डिलीवर किया गया
Pricing Feedback,"but restaurants in your app are scamming through coupons and fake prices, kindly check on it. i hope you will make us feel comfortable with the app and price lists"
General Feedback,"zomato app is fast, easy to use, with real-time tracking, great offers, and wide food choices. reliable delivery, smooth ui, and good customer support make it perfect for every foodie!"
General Feedback,as it have slot booking option as well so love using this app
Customer Service Feedback,need to improve more in communication side rest all is good and helpful
General Feedback,osam zomato i loved it and great experience with you best deal time to time delivery
Pricing Feedback,good service good offers just 1 setback at times rates differ on higher side from restaurant rates
General Feedback,delivery is always smooth and on time.
Pricing Feedback,"overall good experience but sometimes prices are really high , and faced some technical issues related to payment"
Delivery Issues,they always deliver on time
Pricing Feedback,"looting money from customer and merchant, service is also not good. just make a scenario if u ordered fried rice, in restaurant is 80-100 but in zomato 180-200 and insted of this they make 20-50 rupees gst and restarunt charges, delivery fee and extra to make a 250-300 for ordering a 80-100 rupees fried rice. conclusion: i asked restaurant mangers."
Food Quality,very bad bahut kharab khana
App Feedback,it's an amazing app and pretty popular too u can blindly trust it
Delivery Issues,"this is a food delivering application nd it's not delivering food and marking it as delivered. and this what a kind of support as a customer you get, not ordering anything thing from now onwards from zomato neither will recommend anyone and will share a 1 star for this mind blowing service certainly!"
App Feedback,"superb interface, superb service and reasonable compared to other providers. all round 5 star!!"
Delivery Issues,"pathetic services, delivery never on time"
Delivery Issues,it was late night but still it got delivered before time.... thank you so much
App Feedback,nice app for food delivery.
App Feedback,good option for late night
App Feedback,amazing app for order food i really love zomato  it is really best for me thnx zomato 
App Feedback,it's nice to order in zomato
App Performance,"filled with forced ads, showing fake time, and forcing users to automated garbage chats. terrible user experience"
Delivery Issues,fast delivery and good food
Pricing Feedback,"yes good, but they do charge extra"
Customer Service Feedback,"worst, pathetic no response from the helpline number, useless rider called me, said please cancel the order, now they are not refunding me. worst experience, this is not the first time, when i attached the picture what they have sent to me that time also they didn't take any stand. and please don't add your email please mail us here, you guys never take any action."
App Feedback,only zomato will give only best offers
Delivery Partner Feedback,"if you have a wife, agree you have food ,agreed , but if you have zomato , trust me the food is more.laveable adding comments for today's delivery agent sandeep goud bhopal who took the order from sagar gaire ....very soft spoken and polite kid . i am happy to share his positive feedback here . dated 3rd july-25 ."
Customer Service Feedback,"pathetic customer service if you're looking for it when something's gone wrong with your order. they don't have a customer service agent, they don't give you a reason, they don't call you and inform. they just quietly cancel your order and refund the money. my order was supposed to be delivered in 30-40 min and the order was cancelled after 30 min with the explanation ""the restaurant isn't accepting any orders"" well you accepted my order 30 min ago when you were accepting orders!"
Food Quality,"absolutely disgusted. found a dead cockroach on top of a paratha from chulbul dhaba via zomato. sent photos and videos, but zomato brushed it off saying “nothing out of line.” it’s not just the restaurant’s hygiene, but zomato’s apathy that’s shocking. this isn’t just bad service—it’s a health hazard. after years of being a regular customer, i’m done."
Delivery Issues,horrible service...i ordered food and i got the chicken in pieces after a delay of 1 hour by the delivery partner...i tried explaining it to them but to no avail...absolutely horrible service...uninstalling this app...
General Feedback,zomato is my go to aap... whenever i am hungry it gives me a variety of dishes with multiple restaurant options best aap
General Feedback,"enjoyed the quality of the food, timely delivery and excellent behaviour of the delivery staff. good job. keep it up!"
General Feedback,best app with food on time !!
Pricing Feedback,very good but price or too high on app but from the same restaurant lower price than app
Delivery Partner Feedback,today i have booked the food from khammam to khammam railway station the delivery boy asked me to cancel the order....worst and reckless behaviour of the delivery boy
Delivery Partner Feedback,"one of the worst delivery partners i have come across, i uploaded images of spillage & still couldn't get my refund or response, wish i could rate 0 because that is what you deserve."
Payment Feedback,after bymistakely ordering my meal i have cancelled it . there was no refund given to me
Delivery Issues,"ticket id 94760712 raised over 24 hrs passed but yet not resolved,i having wrong item received,but support was so busy that over 24 hrs passed not resolving problem,this happened with gold member, replied once saying that want clear image already having clear image but what they m i make a film with food,that how this food was wrong.."
General Feedback,wow yummy yummy yummy yummy yummy
Pricing Feedback,"my family enjoy using zomato food but cost of food is more expensive whn compare to the dine in food,it will be good if the restaurent maintain the same cost for all the customers,the increase amount of rate make the cust stop using zomato......."
General Feedback,better then swiggy and all
General Feedback,very good awesome service !
Delivery Issues,"zomato has gone bad to worse. almost all of the orders are delayed (even from near by restaurant) because zomato will group order delivery but without any previous notification. they manipulate the time marker to hide the exact delay. in the case of wrong delivery, zomato doesn't take any ownership. in nutshell, zomato's customer service is just a facade, if you're lucky you will get the items you've ordered. if you are very lucky, you will get it on time and hot. zomato will anyway make money."
Payment Feedback,frauad cancellation by service provider. if required proof i can submit. even zomato care executive is helping in fraud activities.
General Feedback,bahut hi badhiya much better than swiggy i really appreciate professionalism in zomato. ek standard hai zomata ka like ratan tata
General Feedback,i have very good experience
General Feedback,amazing app for food delivery
Food Quality,price is expensive but meals not good
General Feedback,zomatto is the best i love ur discount and coupon apply skim
App Performance,it doesn't cancel ordered food even thought it had been just a minute. makes us to wait for 3 to 5 more minutes and will say order is preparing
Delivery Issues,i am using zomato scince more the 1 year and ever time i use only zomato for food and i got best ever experience form zomato and their riders but in last 2 months i fully disappointed with zomato service from restaurant but still their riders doing best work but from restaurant on zomato i fully disappointed from last 2 monte
General Feedback,zomato laver (i hate swiggy)
App Performance,can't open my zomato delivery app in my new phone
Delivery Issues,zomato services are pathetic now. huge delay and no option to speak with some human
General Feedback,fine but need to improve a little bit more
General Feedback,nice to use... good and fast service
Payment Feedback,no use of taking gold subscription
Customer Service Feedback,"customer service is worst.. today i ordered burger and frenchfries from zomato - burger king, they delivered only half of the product i ordered two combos... no such response from customer service, and they are not aware why this happened and when i denied taking order they said the amount will be deducted on what basis don't know..."
Customer Service Feedback,"now a days zomato and zomato partner behaving ridiculous, it's worst app and restaurant partners aswell"
Service Requests,"please ask motimahal about no chilly 1750,49-b chd."
General Feedback,yahhooo perfect dish and discount 
General Feedback,nice to have this app
App Performance,worst app to order food switch to swigy
General Feedback,good app enjoying using it
Delivery Issues,delivery time pr nhi hoti hai or khana thanda ho jata hai upr se mangati kuch or hu aata kuch or hai 
Delivery Partner Feedback,"sorry to say this statement but true as d partner एक लड़का जो जॉब की तैयारी करता है, पार्ट टाइम काम के लिए वो इनके ज्वाइन करता है है कुछ तो परमानेंट जॉब के लिए भी इसको चूज कर लेते है,ये लोग अपने advertisement में दिखाते है कि 30k,60k पर मंथ लेकिन ये सब झूठ होता है मैने कर के देखा है।इनके साइट पे 10 घंटे 12 घंटे एक्टिव रहो दिन के 500rs bhi बड़ी मुश्किल से होता है वो भी कैसे ऑर्डर के लिए काफी वेट करो ,फिर रेस्टोरेंट पर जाके वेट ऊपर से कस्टमर का सुनो,अगर कुछ प्रॉब्लम हुई तो सारी गलती राइडर की"
Pricing Feedback,too much expensive compared to swiggy i already shifted to swiggy
Delivery Issues,"my order was 1:30 hours delayed, there is no response from customer care and no opp to call customer care worst service"
Pricing Feedback,already zomato taking commision on each dish approx 25-30% and still charging platform charges and other unnecessary charges which are totally wrong. paying 550 to 600 for the actual meal of around 350 rs.
Delivery Issues,never deliver food on time
General Feedback,easy to order food and good speedy servixe indeed
Pricing Feedback,good service by zomato but sometimes show high charges for short distance apart from that all good
Payment Feedback,yesterday i order food from zomato by mistake i clicked on cancellation it charged all by money as a cancellation fees
General Feedback,your services are far better than your competitor swiggy.
Customer Service Feedback,no option to actually talk with an executive regarding wrong order delivered. poor or no customer support
Customer Service Feedback,old review: it went from ok to good to pretty bad. there answer to every issue is either please stay connected or here is some credit and shut up! no wonder this india grown startup with lots of money hasnt really gotten anywhere. new review: they have come a long way indeed!! newest review: the best in the market now - hands down new review: has totally become the default and only choice to order food - they have definitely come a loong way since my last review
General Feedback,amazing. best place for your favourite food
Customer Service Feedback,"this is my last order you have no option to cancel the order, plus you exploit the customers. i have more than 100 friends and i'll make them delete your app and switch.. you don't know how to do business, i'm done. i'm hating it"
General Feedback,wherever n whenever you feel hungry zomato is always there thanks zomato you y my favourite and will be...
Delivery Issues,ur arriving time is worst. a single delivery is taking three orders delivering it.delivery boys says it will take time. tell me the correct arriving time in the app. really third class service . im uninstalling the app.
General Feedback,absolute all time favourite for night cravings🤭
General Feedback,it is useful and i love it it's my life saver
App Performance,"the new ""feature"" of showing ratings customised for me is completely useless and misleading. i want to see the average rating given by the people who have already ordered, not some hypothetical ai number."
General Feedback,"better than others , have different offers which always wonder me"
Delivery Issues,bad experience maine 7:30 mai zomato kfc se order kiya tha abhi 9 bj rhe h abtk delivery ni hua h or bar bar 15 min dikh rha h upar se customer care m phone bhi nahi lag rha h bad service providers
Delivery Issues,"pathetic platform, cancelled my order after making me wait for an hour, waste of time. never using this zomato in specific for food ordering apps. swiggy is way better, always delivered at promised time, although might vary with order but better experience there"
Food Quality,gud nice packaging is proper
General Feedback,on time delivery with yummy foods 
General Feedback,nice app. good experience overall.must try.
Food Quality,garbage collection service is better than its food delivery in my area
Delivery Issues,"** 11 eleven food junction mohali ** worst experience! i ordered i kadhai paneer and 2 laccha parathas, but only received the kadhai paneer in bad condition. the parathas were missing. i called the restaurant many times but they kept disconnecting the call. such a fraud!"
Delivery Issues,pathetic services pathetic delivery system and time of delivery could only be known after making payment above all tod would keep on increasing with lame excuses don't waste money on zomato gold service is pathetic
Delivery Partner Feedback,"i have worse experience with zomato, i will not recommend anyone to use this application. i have order food at 10:20 pm as i have returned late from my office, it shows 35 minutes expected delivery time, when the delivery partner was just 200 meter from my location he completed the delivery without delivering my food. when i was raising my concern to company no one entertain my complaint. and the customer care executive said they will give me a coupan equevelent to the amount i had paid."
Pricing Feedback,i love the food but i'll give four stars because the rate is over the my worth
Food Quality,delivered rotten food. ai bot says - we cant do anything.. taste may get affect due to transit conditions shared feedback with restaurant. 200mtr delivery me dhokla sad gayaa?? no human available to chat with.
Customer Service Feedback,"extremely disappointed with zomato. i ordered a cake from pune for delivery in thane, selected the correct address, but the order was accepted by a restaurant in parel (20+ km away). the delivery partner refused, and when i contacted support, they said they couldn't help and canceled the order. no refund given. poor service, zero accountability. be very cautious when ordering from a different city. not expected from a platform like zomato."
Food Quality,it would to show testi but kabhi kbar bahut bekar food aata hai
Delivery Issues,earlier i was loving it n would have given a 5 star.. but recent order cancellations after long wait times have made me dock one .
General Feedback,easy to work and easy payments good food good service
Customer Service Feedback,it's very bad service. i suggest to everyone pls don't order from zomato. there is no customer care to help. i have ordered pav bhaji which quality was very bad so inform to the hotel they said pls apply for refund on zomato app. but there is no option for a refund. no customer care number no one call us and talk with us they are just replying to me we are working still there's no response. very bad app. wastage money pls don't order.
Payment Feedback,why are you taking tips without permission
Delivery Issues,"i ordered 2 biryanis but received only 1. i immediately reached out to customer support and provided all the proofs, but they have neither processed a refund nor offered any compensation like a coupon. the experience was extremely disappointing, and the lack of proper resolution shows how little they care about their customers. i expected much better service from zomato."
Pricing Feedback,regular customers must get discount
Delivery Issues,this app doesn't allow to cancel order once placed. once i ordered 5 mc meal and tried to cancel the order but each time they say that cancelling my order would waste resources and all other nonsense words. then i had to receive and pay for it
Customer Service Feedback,"zomato is good and their customer service is also good, but some restaurants are taking the wrong advantage of them."
General Feedback,i love ordering food from this app.
Payment Feedback,50% off on your first order bolke full payment karke khaana order hua 🥹‍
Delivery Issues,"so irresponsible to answer the customers,they don't take responsibility for their own commitments. don't believe on their time line i have ordered 1 hrs back and still they want me to wait for 15 minutes more. i tried to cancel the order but they will charge the penalty for that, they are not even connecting with the customer care representative. never pay them in advance,they don't value your time. uninstalling zomato."
Pricing Feedback,high cost with good service
Customer Service Feedback,poor and pathetic service from zomato. i have made many orders in the past but now their service is very poor. i have literally deleted my account and uninstalled the app. swiggy is far far better than zomato.
Customer Service Feedback,day by day customer service going from wow to pathetic.. had two worst frustrating experiences from the customer support
Delivery Partner Feedback,the service of delivery are the thing that make me order from this app nice app
Food Quality,"now a days zomato don't value the money of people inspite of giving genuine photo of insect in food ,stale and cold food they don't take any action. i can't spoil my hard earn money so i m deleting this app"
Delivery Partner Feedback,quick delivery with amazing offers.
Delivery Partner Feedback,great service always reliable on time
Pricing Feedback,zomato works with hotels & restaurants even on late nights compared to other apps which i find very helpful and also the food cost is comparatively little less here. even a 10rs difference matters.
Customer Service Feedback,deserves negative. one star is too much .
Delivery Issues,overpriced food and most of the time not on time ...spoil your money and mood. i would say you are lucky if you get good food and on time through zomato
Payment Feedback,best but too prize give me a cash a delivery option
Delivery Partner Feedback,fast delivery and best delivery partners  
Payment Feedback,"we already paid platform fee and we have to see your promotion ads ? before paying plz confirm bill summary be aware  u r paying delivery person charges there clearly mentioned “i already paid for the product and your service. if your staff is exceptional, please reward them — from your end(profit from firm), not by pushing it on mine. that’s how real gratitude works.” if we want to tip a polite delivery person we will give cash."
Food Quality,superb  quality n quantity n service of zomato
Food Quality,very good quality food delivery within time
Food Quality,what you like you get
Customer Service Feedback,"support team executive mr. armaan helped me & understood my issues with polite behaviour and handled my concern maturely. thanks armaan, i'm editing this rating due to your help."
Food Quality,worst app in india don't order food from the app they give rotten and smelling food
Payment Feedback,i am very happy to have the delivery payment option 
Food Quality,5 stars are still 5 if there was a option of 5k for sure i will give 5k to zomato
Pricing Feedback,now a days not getting any good offers
Pricing Feedback,great but sometimes giving high price then resturant
Delivery Partner Feedback,i ordered food with online payment once i paid the delivery rider doesn't answer the call and customer care doesn't response after 2 hours they message us and just say delivery doesn't pick the call it's not our concern delivery rider name - pandab
Delivery Issues,i have faced missing orders two times. why r the delivery agents not checking the order before they pick from the restaurant? pls learn to check the order and then bring it to the customer. very bad experience and didn't expect this from zomato.
Delivery Issues,very happy with the timely food delivery.
Delivery Issues,restaurant cheated with order quantity and even zomato did not help. deleting this app now.
Food Quality,"absolutely delighted with my experience on zomato! the food arrived fresh, well-packed, and right on time. the restaurant followed all special instructions perfectly, and the delivery partner was courteous and professional. the app is super user-friendly, and the live tracking is always accurate. highly recommend zomato for anyone looking for a reliable and satisfying food delivery experience. keep up the great work "
Delivery Issues,delivery is usually on time.
Food Quality,life is great with zomato! having always had a greater experience
Customer Service Feedback,worst customer service. edit: still worst service.
Customer Service Feedback,great customer support and offers
Delivery Issues,very nice app just make sure that your orders come a little late pls make change... ( thankyou )
Delivery Issues,ar first i loved it this zomato because it was fast and quick response but nowadays this days my food delivery was getting so delay and not quick response i completely dispointing but still i hope it will be recovering but but know totally desponding i don't why it's like this know i am a gold member even it's happening same
Customer Service Feedback,"pathetic customer service, no accountability or responsibility if any incorrect item delivered or item missing in your order. biggest scam. morons will keep asking you to email and there won't be any response from them. i uninstalled zomato. i request others to stop using this app."
Food Quality,this is the most popular app it's good in work also keep it up
Delivery Partner Feedback,my first experience with zomato as fraud service without my order delivere system show your order delivered i rate 1 star because no option in negative side otherwise i rate negative 5
Delivery Partner Feedback,good service. delivery boy was very humble
Delivery Issues,delayed orders and no cancellation
Payment Feedback,worst on services nd delivery....didn't return money also
App Performance,the order placement is very easy and quick response from the delivery agents.
Customer Service Feedback,"awesome aap, nice food drivers, resolves delivery issues very fast"
General Feedback,beat of all time i                 it
General Feedback,100 times better than swiggy and zepto
Delivery Issues,the food is delayed and no proper response
Customer Service Feedback,always a very good service. my favourite restaurant on zomato is 135 degrees and chennai express
General Feedback,thanks for giving us cod and new new offers
Customer Service Feedback,"pathetic feedback service, want to connect with service team for my order but they don't have any support available, not even giving option to connect with any support team."
Service Requests,i will cheq your service
General Feedback,best service zometo is always best
General Feedback,this is a great app!
General Feedback,best food delivery and dining app
