topic,review_text
Payment Issues,so happy that you have cash on delivery in late night times that's so useful for non gpay users🥹🤍
Order Issues,i had ordered umbrella today. in description it mention it's 23 inch size but i received 19 inch when i ask for replace they denied and i got scam this way even quality is not good as per description
General Feedback,"simply best, better results, less searching,"
Service Feedback,i really disappointed by blinkit customer care experience i complain them about missing my product but they say they give me refund with promo code but why i take there 20-30rs promo code my product price was more than that. and the custom care was so rude to me it's was really bad  experience
General Feedback,all is good or best 
Service Feedback,most pathetic app....no resolution bloody old virtual assistant in chat....
General Feedback,best app ever more tham citymall zepto and other app this app is the best
General Feedback,superb exprience. time saving app
General Feedback,"great app, quick service and delivery, nice catalogue of products."
Promotional Requests,just amazing experience but blinkkit should give offer also for those who are doing frequently orders
Delivery Feedback,their 8 minutes delivery service is tremendous. loved it..
Service Feedback,totally waste of time. because of delivery partner.
Service Feedback,very best and fast service
Delivery Feedback,very smooth delivery on time
Service Feedback,blinkit gives better service & delivery boys also do hard work in the rainy season at lonavala. thanks boys for your struggle.
Pricing Feedback,very nice and fast delivery. but some products rate are high from other platforms
Product Feedback,"great compared to instamart and zepto, blinkit is way better"
Payment Issues,jitna ka purchasing nahi h utna ka to charge hi lag jata h pata nahi kya kya charge
Service Feedback,always the one to count on.
Service Feedback,this is the best app for groceries and snacks and it has fast service in 10 min 
Delivery Issues,product was damaged and very late delivery of items.
Service Feedback,mostly useful but stores scam too often. lost trust over time.
Delivery Feedback,got in same time as mentioned
App Feedback,very fast delivery and nice apk
Service Feedback,"quality products, reasonable rates, fast, swift and smooth delivery."
Service Feedback,genuine app and geniune work thanks for best service provide.
Payment Issues,very bed service for refund payment
Delivery Feedback,i order many times n find the things in ten minutes
Service Feedback,jo order ham karte hain us location per nahin pahunch paate hain bahut mushkil hota hai location per ate hai bhar hi bulaye hai delivery boy
Pricing Feedback,looting delivery charges in the name of handling fees....thuuuuu...why say free delivery then ...nasty strategies...
General Feedback,fast and efficient service. superb.
App Performance,"worst experience in order selection because not available cancel option. very bad and forced to order , atleast one time cancel is provide in your application"
Delivery Issues,delivery so late but product good
General Feedback,"it's very helpful and very fast service, kudos to your team.🥳"
General Feedback,best app for almost everything!!
Delivery Issues,"i am ordering for the first time , my expirience is good , but my order is slightly delayed"
Service Feedback,worst experience with blinkit! ordered an ambrace 3.5mm aux cable – it was faulty and not working. support agent nirali was rude and gave no help. refund was denied. don’t buy anything from blinkit. worst service ever!
Pricing Feedback,surge charge is too high
Food Quality,i have received spoiled blue berries but the help team is saying they are busy and send them an email so they can check. who has this much time to write an email and respond back to your emails? awful service!
Payment Issues,i cannot select the option for payment mode upi or cash on delivery.. even cash on delivery is hidden for a long time...
App Performance,best application for needs but a important suggestion that i could help with is the map is extremely poor and ui could be more user friendly. hope it would be better in future.
Food Quality,sabse gatiya experience do bar order krne k bad b earbuds acche ni aaye kuch action ni liya gya koi sudhar ni h app me
Delivery Issues,less than 8 minutes delivery
Pricing Feedback,unnecessary delivery charge and handling charge..
Payment Issues,the app is good too good and it is really just blink and thing is at front of you... but i have getting some issues like whenever i want to order it sometimes says it is currently unavailable. and thats even ok main problem is i cant proceed with cash on dilevery. i dont have online payment. so cod is only option but whenever i proceed for it it says it is currently unavailable
General Feedback,good services and best price
General Feedback,nice app for urgent quick use i hade recently ordered the items which were of good quality very nice app
Delivery Issues,this app never delivers anything whenever i try to order anything there is alway one notification that can't deliver because of excess demand.what is this how can they do this why they open app like this if they don't want to deliver please do something for it
General Feedback,very fast delivery and products are also good.. 
Order Issues,i didn't get my favorite   and i didn't get my most favorite nail paint i awalys wants    but i still get many things i need so i thing i will give a four 
General Feedback,best app i add different 4/5 things and just get in a few minutes lovely and best app
Pricing Feedback,extra charge for the delivery
Pricing Feedback,it's very helpful n cost also same as market price 
General Feedback,"saving my life in my small town. surprisingly good stock and variety that i didn't even expect here. we always had to wait for days to get a lot of stuff delivered but now blinkit has them at hand and i cannot express enough how much of a convenience it is to get things like keyboards, beauty products and everything in between delivered in 15 minutes. excellent experience."
Food Quality,i was very happy with this app but today i have ordered something like bread butter and water 5 litter and with salt all was good but i got bread full of fungals .. it has fungal it is smelling badly how can u give such a thing without knowing it is expired or not can u please reply on this??
General Feedback,this app is very useful at last time we ordered here thanks for delivery
General Feedback,nice experience order before time
Service Feedback,fraud app service support is very bad and don't purchase from blinkit app.
Delivery Issues,"from the month of june there are n number of problems going on. they accept orders then they call us to wait as there is some technical problem ,it is happening everyday , after waiting nearly for two hours , then they message us to cancel the order."
Pricing Feedback,veggie prices are always double or triple times more expensive than market prices + handling charges + raining charges + delivery fee + rotten veggie. total scam.
Delivery Issues,worst experience for on time delivery as they promise there is always much delay
General Feedback,easy to use. no hidden charges.
General Feedback,"great effort, team blinkit! great balance of cost effectiveness and brilliant service and very polite delivery team. sweet experience over a year!"
Food Quality,"the online order , brinjal contain worm. no response from company"
General Feedback,i always get a discount on my order..|
Payment Issues,"they had not refund my money and while going through the app. they don't have any consumer helpline no. and when i go through chat, they don't have any option for refund related issue. really frauds. these people are looting and making fools of consumers."
Service Feedback,bahoot hi ghatiya aap hai..
General Feedback,this app is very good for anybody at this app you can order anything. there us no delivery charge. this app save money also. so i give 5 star rating thank you so much to zomato to open this app in deoria.
Pricing Feedback,no free cash provided like instamart or zepto
Payment Issues,this aap is lose of money agar apke pese ho jaye aur order placed na ho to isme costumer ka number bhi nahi hai isliye ye mat download karo  can you give back my money 290 rs and open cash on delivery method and give me your coustomer care number
Service Feedback,"horrible ,never trust,think twice before ordering ...."
Delivery Issues,this is not the last minute app
Food Quality,great delivery service and the fruits and veggies are fresh and good quality
Pricing Feedback,very high rate against mrp. i will complain to government
Delivery Issues,delivery services is not good
Service Feedback,worst customer support. don't order from this app. it's fraud
Payment Issues,my order is not recived my money is not return why
Service Feedback,blinkit is trash all things are fake
Service Feedback,"very pathetic service,no regard for the consumer"
Service Feedback,thank you it helps in all emergency states
Delivery Quality,"love the service of blink it. i have ordered at night twice. timely delivery, nice delivery ppl. thanks for your kind services, making our lives easier. god bless you all!"
Delivery Quality,"i love this app because their service is so quick ,fast & reliable"
Order Issues,"i had a terrible experience today, there are 4 items missing from my order , and when i try to raise a complaint , even the chat bot is saying they are too busy , so you loos your money this was my first order and such horrible experience"
Delivery Quality,good concept getting products on time in busy areas
App Feedback,so good  app  so much useful app
Product Variety Requests,awesome experience  kindly add some pharma items for children and basic medicines required for urgency by tagging some pharma store for quick access...thanks team for being awesome in every aspect
Delivery Quality,i'm really happy with blink's service! delivery was on time and the customer support was helpful. the best part is that i got the products at a lower price than most wholesalers. highly recommended for anyone looking for quality at affordable rates. will definitely shop again
Delivery Issues,it is good provides items corrctly but sometimes a little delayed and the most important they have high dilevery charges
Service Feedback,amazing service by service man chauhan . he is very humble
Pricing Feedback,no good offer compare to another company
Delivery Quality,fantastic you should try it delivery any item in just 15 to 20 min
Food Quality,open package of your ice cream and how can believe on you....
Order Issues,bhai ye hamra saman pura nhi bhej te kabhi kabhi
General Feedback,"it's the best delivery app, i've been using it for months, it's interface is soo clean  and always delivers under 10-15 mins, this app has never disappointed me, must download it "
General Feedback,"your service is wonderful, i like it"
Delivery Issues,fast delivery within 10 mins on last order
Service Feedback,"fix your app, fix your support system, and stop wasting people’s time. if you can’t provide basic customer service, shut it down. total disappointment."
Delivery Issues,always late and location thik leta hu nahi h
Pricing Feedback,but there was a bad thing that they charge a polythin bag of 10 rupees
Service Feedback,worst customer support.. they steal items and we cannot get any help from customer support. pls dont opt services from this app..they are big fraudster
Delivery Issues,very worst service if i order anything they will not give on time and i will order one but i will get a different one so my suggestion is don't buy anything from the blink it because.
Pricing Feedback,everything is good but shipping charge is v high
Service Feedback,i shouldn't be dealing with the delivery boys constantly passing comments
Service Feedback,very very bad they took the product back and do not refund and there is no number or chat facility to raise your complaint
App Performance,i received unsealed cosmetics items.i tried to send a product video and raise a complaint but the app didn't work but it works when i add any items to cart.i don't know what to do....
Pricing Feedback,today i have ordered some item they changed double rate than local market and add their delivery charges with handling charges. i am in total loss. uninstalling the app. app is useful for riches not for middle and lower class.
Food Quality,just ordered cadbury assorted mini treats it was open with few chocolate missing. i cannot access the support page or ask for help. there is no way of contact.
Pricing Feedback,little expensive but still super
General Feedback,"time saving, no bargaining, easily available and fast delivery."
General Feedback,amazing app fastest delivery with minimum charges best app for order essential items
General Feedback,nice app & speed delivery s tq so much blinkit...
General Feedback,lovely app help in every situation 
Food Quality,palak is in very poor kwalitey
Product Feedback,there are many but one of the striking differences for me is blinkit delivers the authentic books amd not the copies that are usually available on amazon and fliplart.
Service Feedback,it's an amazing platform for the things... last resort
Delivery Issues,mene 8.55 per order kiya tha. or 10 baje tak inzar kara .fir aap me chat se pucha to wo bole deliver ho gaya hai fir delivery boy ka phone aaya ki aapke rupay wapas kar deta hu koi bhi executive nahi hai or bus sorry 
Service Feedback,"i regularly use this app, really loved the services"
Service Feedback,best fast commerce app in bawana delhi
Service Feedback,this is a very good service. i felt good when i got some defective items by mistake and i got the refund within 2 minutes. thank you blinkit for this love and for providing us convenience. thanks a lot
Service Feedback,wonderful app i love this app
Pricing Feedback,blinkit is doing totally fraud work on the name of surcharge i advise to all user don't buy from this app or zepto if not necessary they are fraud
Service Feedback,so quick and it's amazing 
Food Quality,"one of worst service blinkit is providing with fake products, no customer service for problems and they will not care about customers delivered fake product with 10 time's of charge after sending mail also no solution from, all they're cheating us with fake products"
Service Feedback,wonderful experience. superb service thank you
Delivery Issues,too late nowadays... not 10 mins anymore
Food Quality,"people please be aware, they are delivering under weight items, i ordered vegetables and three of them were below weight by big margin. luckily i had weight machine. i don't know how many times they did this when i did not weigh. please do weigh. after comment on this i sent the email with all details , blinkit has refunded me 9 rs . this is the pathetic state of service."
Pricing Feedback,i like everything about this app except the one which is delivery cost is bit costly. they can improve that. otherwise it's great 
Service Feedback,i really loves the quick delivey thanks blinkit
Food Quality,"very bad, all delivered ice creams are melted, tasted not good, nothing like ice-creame."
Payment Requests,i wish cod could be an option
Service Feedback,i am very unhappy as the support agent kept asking the same thing again and again. i bought a football and that is damaged . the agent wants me to make a video where the ball is leaking and then only she can help or else she is happy to loose a customer. very disappointed
Service Feedback,delivery partner is efficient and did quick delivery thank you
Delivery Issues,"i had this worsr experience.my order took more then 1 hour to deliver.delivery boy wasn't answering my calls.he was just standing at one point and wasn't even moving,i tried to connect with the support team to cancel my order so that i can order again.they weren't able to do this.i waited for more then ab hour,and still didn't get my order,and there were also delay in processing the refund"
Delivery Quality,delivery time is perfect that's what i like the most in this app
Pricing Feedback,"delivery charges are too high, i am going to stop using this app anymore....."
Order Issues,they will deliver wrong products and won't even acknowledge the complaint under the guise of all customer care executives being busy. it means they are badly screwed. also they are the most expensive ones for the same product vis a vis instamart and zepto.
Payment Issues,"my money was debited and the order got cancelled, i am trying to connect with support but there are no such services not even a customer care number. these people come with a concept and earn so much without setting up full customer support. now, what should i do? imagine, nobody is there to help. please if someone sees this review kindly return 352/- i have no options."
Payment Issues,2 stars off for lack of customer service. i paid 1021 twice because it did not order. but the money is out of my bank twice. and there is no way to contact customer support.
Delivery Issues,sometimes really late and sometimes really fast
Pricing Feedback,"i did not like the surge charges, and i don't like it"
Food Quality,"i'm absolutely loving blinkit! the app is so convenient and user-friendly. i can get groceries and essentials delivered to my doorstep in no time. the delivery is super fast, and the products are always fresh. the prices are reasonable, and i've never had any issues with my orders. highly recommend blinkit for anyone looking for a hassle-free grocery shopping experience! thank you blinkit bhopal(airport road) "
Delivery Quality,"this app is very good i love this app ,also the app says my order will come in 10 minutes but my order comes in 9 mins "
Delivery Quality,any time anywhere only blinkit 
Food Quality,early delivery and quality products
Food Quality,fruit quality is not good every time.
Delivery Quality,very good and fast service
App Performance,very nice and easy for use
Service Feedback,everything is good from the delivery speed to the quality of the product. but there are somethings that should be considered by them is that their delivery boys are not very good at traking your location (its been 5 continues time that i have to manually direct them to my house) and their behaviour is too rude to be a delivery partner as they never accept their own fault and blams me for not giving enough info about my location (i have already mentioned everything)
Pricing Feedback,convince charges are very high and illegitimate
Order Issues,"don't order from blinkit as i order a few food items at night and when i receive my order i get to know that one of my orders is missing and when i contact the service centre they told me that all the orders have been sent and i should contact the delivery boy but when i contacted the delivery boy, he also refused and i did not get my order or refund."
Order Issues,cold drink is free but no cold drink delivered
Food Quality,"fastest delivery, super convenient!” i’ve been using blinkit regularly and i must say they truly live up to their promise — groceries and daily essentials delivered in minutes! the app is user-friendly, has a wide range of products, and the quality of fresh produce is always good. what i love most is how it saves me time and last-minute grocery runs. the delivery partners are polite and quick too. overall,blinkit has made my life so much easier highly recommended for anyone who wants hassle free"
App Performance,"great. quick and convenient. but is it sustainable? app itself is good, but sometimes scrolling products is not smooth and lags on a galaxy fold 6 device. about the delivery agents - they can be reckless on the roads trying to reach on time. perhaps the 10 mins expectation needs to be relaxed. also of late, no bags brown or otherwise are being provided. cost cuts or something more serious ? the delivery agents seem dissatisfied too. something is amiss and it is evident. hope it is fixed."
Service Feedback,"great. quick and convenient. but is it sustainable? app itself is good, but sometimes scrolling products is not smooth and lags on a galaxy fold 6 device. about the delivery agents - they can be reckless on the roads trying to reach on time. perhaps the 10 mins expectation needs to be relaxed. also of late, no bags brown or otherwise are being provided. cost cuts or something more serious ? the delivery agents seem dissatisfied too. something is amiss and it is evident. hope it is fixed."
Service Feedback,"great. quick and convenient. but is it sustainable? app itself is good, but sometimes scrolling products is not smooth and lags on a galaxy fold 6 device. about the delivery agents - they can be reckless on the roads trying to reach on time. perhaps the 10 mins expectation needs to be relaxed. also of late, no bags brown or otherwise are being provided. cost cuts or something more serious ? the delivery agents seem dissatisfied too. something is amiss and it is evident. hope it is fixed."
Payment Issues,cheater company......saman nai milta payment ke bad........aur solution bhi kuch nai hai inke executive ke pass ....inhin ke delivery ke bande saman le lete hai ya fir yeah log nai dete fir inke log kehte hai hume nai pata 🤣🤣🤣such a pathetic company... don't buy anything from blinkit or zomato time to move other quick delivery platforms like instamart and zepto blinkit is not a good platform
Service Feedback,cheater company......saman nai milta payment ke bad........aur solution bhi kuch nai hai inke executive ke pass ....inhin ke delivery ke bande saman le lete hai ya fir yeah log nai dete fir inke log kehte hai hume nai pata 🤣🤣🤣such a pathetic company... don't buy anything from blinkit or zomato time to move other quick delivery platforms like instamart and zepto blinkit is not a good platform
Pricing Feedback,you deliver fast but in haryana (sohna) the rates are cheaper so why expensive in delhi
General Feedback,what to say. its the best.
General Feedback,very fast delivary in serviceable area
Service Feedback," bad,order cancel ka option nhi dete .agar galti se kuch order ho jay to ap cancel bhi nhi kr paoge. fir help ke name pe 1 ghanta chat process krte h and last me bolte h please accept this time. really bad experience "
Pricing Feedback,good and fast service but some item costly compare than market..
General Feedback,best app and best delivery...!!
App Performance,"after adding everything,showed store “currently unavailable due to high demand.” itpersisted until we reopenee many times.store appeared again—but with ₹30 surge fee. add delivery and handling charges,cost soared.to make it worse, blinkit ads started showing up on youtube right after i searched groceries on zepto. this tracking,between apps, isconcerning. how did blinkit know what i searched in another app?this data sharing breaches ethical boundaries.its not about 30 rupees,its the manipulation"
General Feedback,"very helpful , so useful"
Delivery Issues,delivery time is getting late every time
Pricing Feedback,delivery charge must be low
Payment Issues,worst experience.. i can't able to purchase any item from any payment method.. finally i tried to add some amount in blinkit money to purchase that also not working.. even i tried this from different location.. but it's not working.. no customer support.. i even emailed to customer support but no response..
General Feedback,always save me in difficult situations
Payment Issues,"i received a 100 paytm cashback + first order free coupon/voucher, i ordered bliikit on 29 may 2025, but no cashback given to me, i sent a mail to bliikit, they given unsatisfactory reason."
General Feedback,i feel fantastic shopping this app
General Feedback,nice app and good service
Delivery Issues,delivery time have been increased now even after everything is way costly now...
General Feedback,always service given on time.
General Feedback,great experience using the best grossary app!!
App Performance,i search badminton racket it 2 - 3 variety only and it was coming bike helmet ant tabel tennis balls tennis ball 
General Feedback,i like your service to good
General Feedback,this is very good app 
Service Feedback,"the courier boy was very arrogant and was misbehaving. when he could not find the address, he started saying cancel the order"
Delivery Issues,very slow delivery am very disappointed
Pricing Feedback,it's not right to business why 30 rs. extra charge
General Feedback,this is a very usefull app i really like this app
General Feedback,hi l am vrinda and then l am using this app this is very this is very fastest app also help in minutes there are so many things are available in this app also her bags are very beautiful organised day by day changes i am excited to read the herbagg . thank you for this work blinkit .
General Feedback,always very quick in delivery and delivery of exact items ordered.
General Feedback,good and fastest service frist time i love this aap honestly write my review good job  keep going
General Feedback,speedy delivery..all emergency items available.
Service Feedback,very bad app for workers 
App Performance,kuch b visible nhi h is app m koi item ki photo nhi dikhti maha bakwas app
General Feedback,nice and helpful very good for lazy people too it's a useful app this app needs to be on every person phone
Product Availability,if you deliver condom 18or above so why not ciggerate hnn...?
General Feedback,very fast service and no damaged products delivered till date
Pricing Feedback,delivery charges and small pack charges are too high
Product Variety Requests,itss best but if they added more electronic gadgets it will be appreciated 
Service Requests,i really suggest you to come nanded i love blinkit buf it's not available in nanded and i have to order from swiggy. plz 
General Feedback,so nice and fast delivery
General Feedback,in an emergency service blinkit is the best option
Pricing Feedback,nice and fast delivery but charges are more most at the rainy season and at night it delivers after 20 to 30 minutes
General Feedback,best app to delivery grocery
General Feedback,great experience! fast to deliver and also good products most of the time.
Payment Issues,cancle order option is not available pehle order pr rate kam phir 40rupe bardha diye i don't like this
General Feedback,blinkit is giving all groceries and products at reasonable rates and provides a smooth service to customer while delivering and while ordering on app. blinkit is giving excellent service to customers.
Order Issues,i have order another product but system took another and now they not replacing it worst experience never use this app
Pricing Feedback,not good charges is higher than mrp of items
Delivery Issues,poor delivery at faridabad haryana area...not delivering as per commitment
General Feedback,more than swiggy instamart low price thankyou blinkit love it
General Feedback,happy and easy to purchase the product.
Pricing Feedback,blinkit is all upto my expectations it is a life saver at times of emergency or when i have to get something late night  the only negative side is the delivery charges..i feel they should decrease the delivery charge for products
General Feedback,best app for daily need
Promotional Requests,bhai asm blinkit ka hmko to offers do
Order Issues,order is incomplete not receivable
General Feedback,useful for a busy day
Pricing Feedback,the delivery charges for even bigger orders remain unchanged. other apps don't even charge on smaller orders. variety and speed is great!
General Feedback,fastest delivery with quality products
General Feedback,life saver tbh but i lose my control and end up buying a lot of things but i love this app seriously
Food Quality,kharab ha ice cream axparie ha koi download mat kar na
General Feedback,easy to use and fast delivery
Promotional Requests,my favourite app but didn't give offer discount in product
General Feedback,very good very fast loyal person
Pricing Feedback,the delivery charges are too high.
Order Issues,"they forget to deliver something with every order, except your full payment"
Service Feedback,"i had very bad experience today with blinki... one of my friend gifted me chocolate of approx rs 1100 on my birthday from blinkit but when i recieved product was completely damaged... chocolate box was we and when i opened it all chocolates felt down though gift box complete dry, it means it was damaged before packing. but when i complained the support executive refused to take it back or refund... this amount is quite big to give away... it was not at all expected from such a big brand..."
Order Issues,items are not delivered as mentioned
Pricing Feedback,it takes a lot of delivery charge
Service Requests,why blinkit is not available in badnawar
Pricing Feedback,good but rates can be a little reasonable and many things need to be stocked up
Payment Issues,mere paise kat gaye account se 3 to 4 days bola 7 din hi chuke h abhi tak refund nhi kiya inhone
Payment Issues,i could not found my today's return amount in application
Service Feedback,utter nonsense this app is...we need to call from the registered no.there should be an option of calling from other no.as well ...also we can call through the app ..what's this....i didn't have money in my registered no.so i wanted to call from the other no.that i had... but i couldn't ....just shut the app...it's useless ...pathetic experience....awful
Payment Issues,applied rs.25 flat discount through cred upi and and payment through the same bug got credit of rs.01/- only. this is a clear cut fraud to attract more orders.
General Feedback,really easy and nice to get things comfortably
General Feedback,very good platform & service is superb
App Performance,i didn't see any where hocco ice cream in this blinkit app i'm from gwalior (m.p) and i just downloaded this app to order a hocco icecream but i didn't see anywhere
Service Feedback,"excellent service, polite behavior of delivery guy, om"
General Feedback,nice quick response n delivery
General Feedback,amazing service all time up
Service Feedback,"blinkit is good,zepto all they r fraud people,zepto cheating with innocent people"
General Feedback,very fast and nice package
Payment Issues,mere app me kisi tarah ki online pement nhi ho rahi hai aur mere blinkit money me payse hai tab bhi pement nhi ho rahi hai
Food Quality,sone products not fresh and rates high
App Performance,"i am not able to download blinkit lite there is no option getting available to download blinkit lite. help me over this please, i had blinkit lite before i changed my phone and am searching now but am not getting it."
General Feedback,good service . expected order items are neatly deliver
General Feedback,service first class delivery boy ka nature first class delivery v first class
Delivery Issues,blinkit partner not delivered my order
Service Feedback,not a very good delivery experience through blinkit no good customer support is there with blynk it so it is a very bad app
General Feedback,very friendly app delivering high quality products.
Delivery Issues,the distance of the blinkit store is 800 mt but taking 16 minutes
Service Feedback,quality of products is good but your delivery partner not fallow dress of your blinkit they were not recognizeable while taking oder i am from bareilly during night we afraid to take oder uttarpradesh
Food Quality,the app is very helpful.. and the customer support is also very fine.. it sometimes happen that i get not up to the mark quality of fruits and vegetables but the customer care executives are very supportive they resolve the issue asap everytime. i just contacted sayada ji (customer care executive) for my issue and got my problem resolved.. thank you blink it.
General Feedback,"very quick , my daughter ishu love it"
Service Feedback,"hai am regular customer, but today i ordered nokia phone which is defective, i requested them for replacement,they telling is non returnable product, but where is product summary it's mentioned with 72 hours returnable period with any defective or damaged of product, but they not aggree for the mentioned details am so disappointed, am filing case against blinkit in consumer court, with all related documents and details,"
Service Feedback,very poor services provided by blinkit if a order misplaced we can't complaint on app itself it is taking only orders no customer care no helpline numbers of our orders and deliveries boys are not professionals and using orders for themself
General Feedback,very fast and good exam
General Feedback,very beneficial for last minute shopping list at any odd hour of day and night!! fast and efficient. really thankful for this app!!
Food Quality,"i have ordered first time, milk and curd and all the milk cuddled pahli bar order kiya aur aate hi sara dudh fat gaya"
General Feedback,"blinkit app review () blinkit has truly changed the way i shop for groceries and daily essentials. the biggest highlight of the app is its super-fast delivery, often within 10–20 minutes, which is perfect for urgent needs. whether it's fresh vegetables, snacks, dairy products, or even basic kitchen items — everything is just a few taps away. pros:  lightning-fast delivery in major cities  user-friendly interface with smooth navigation  wide range of products, including local and br"
General Feedback,easy to buy effortlessly on all time...also in an emergency basis... thank you blinkit
General Feedback,delivery services is very good
Product Variety Requests,i love this app. can you please add more logcal brands like bikaner's sweets and bhikharam chandmal's sweets too?
General Feedback,"best option available, and easy option available,highly recommended"
General Feedback,delivery on time...best experience love blinkit
Food Quality,i dislike it because delivery of milk is no serving good.
General Feedback,always zomato / blinkit 🫰
General Feedback,good experience in my life
General Feedback,"blinkit is absolutely fantastic! i'm genuinely thrilled with their service. the speed of delivery is consistently mind-blowing – orders arrive almost instantly, a lifesaver for last-minute needs. the product range is surprisingly comprehensive, covering daily groceries and even treats. quality is consistently good. the seamless app experience makes browse, adding items, and checking out incredibly easy. blinkit has truly simplified my life, making it much more convenient. highly recommended!"
Service Feedback,chat me badtmez h delivry boy
Service Feedback,customer service is absolute trash
General Feedback,services really really very good
General Feedback,very nice and satisfy and also quick
General Feedback,very good experience since 2 years
General Feedback,this is a very good aap because of its fast delivery
App Performance,very bad application and blinkit team nai to koi customer care number b nahi post kiya hua h app par. mere 322 blinkit wallet mai add ka option aaya magar use krte waqt hamesha error. very bad application
General Feedback,vegetable and groceries in just few minutes! wow!!!!!!
General Feedback,best service thankyu so muchh blinkit
General Feedback,bsp - behtarin service provider .... put your hands up in air ......
Service Feedback,the support system is quite helpful
General Feedback,nice app fastest delivery in satna
General Feedback,good service and best sales person...
Pricing Feedback,better but after rebate do not exceed price । always allow cod to customer satisfaction।never try cheat like zepto good wises
Pricing Feedback,"handling charge is unnecessary as the user is already paying for either a small cart fee or delivery fee. even that puny fee for ""handling"" can deter someone from preferring blinkit over other similar platform with no fee at all."
General Feedback,made life easy very helpful
Pricing Feedback,handling charge can be waived off if anybody ordered more than 300/-. you should have to check or think about handling charge which is so much extra.
Food Quality,always cold beverage wr like tea
General Feedback,i order products when i feel lazy to go down and get product.
Delivery Issues,"delivery not made, as money already given"
General Feedback,best app for quick commerce
General Feedback,"amazing to have such a service available, thank yoi"
Pricing Feedback,"need more products in it with less price , thank you blinkit "
General Feedback,very good and very fast delivery
General Feedback,very nice n time saving
General Feedback,now blinkit can challenge any competition. they have a price of economy to premium. taken care of all needs. great going.
Food Quality,poor quality recieve product not good service ...plz chnge u r food quality
Delivery Issues,it helps me to get my order but some time it takes time to deliver and cold things are melted
General Feedback,everything is just near finger tips. thank you blinkit
Delivery Issues,bahut der mein delivery hui thi
Service Feedback,"so happy with the application. the staff members are polite and professional, always listen to the queries and provide information. enjoying the delivery  application. #blinkit"
Pricing Feedback,packing charges is too high
Delivery Issues,my order is always delayed idk why?
Service Feedback,fake offer showing after placed order offer item not delivered and saying offer item stock nill but till placing order showing offer item do not believe any offer of blinkit due they making fool to customer do not place order  with blinkit due to very bad customer service if you order placed cancellation option not available
General Feedback,good app. i really like the ui/ux of tha app being a tester myself. preety easy to use and timely delivery on most of the times
General Feedback,best app my name kurkure advik
General Feedback,"quick delivery, quality product, good price"
Service Feedback,delivery partner is very bad don't come at location
General Feedback,unbelievable what all things blinket is serving on its app !! pleasantly surprised
Service Feedback,give more free delivery and some of riders try to scam
Delivery Issues,take 50 min to just deliver pathetic survice
General Feedback,excellent app and quick service
General Feedback,convenient delivery app . most recommended for your urgency
Pricing Feedback,this overcharges. and getting my review deleted as well
General Feedback,"i’ve been using blinkit for a while now and i’m really impressed with their quick delivery service—usually within 10–20 minutes! the app interface is user-friendly, and it’s easy to find what i need, from groceries to daily essential things."
General Feedback,i love the minimum time in which you ensure delivery and that too at discounted price
Order Issues,bekar hai maine alexa mangwaya tha damage product diya hai or return nahi kar rhe
General Feedback,अभी तक तोह सही है
General Feedback,nice app for the awesome products
General Feedback,it gives very fast delivery and it is my favourite app for ordering grocries
Service Feedback,"first of all, your delivery person is asking me to cancel my order. which is not acceptable"
