topic,review_text
App Performance,bhaut ghatya app hai please don 't try the app
Complaints,poor service koi saman nahi milta
Payment Issues,refer to issue number #25131318 you will know the level of your fraud.
Delivery Issues,worst experience delivery guy stays at one place you have to call them multiple times.only after repeated follow up to the support then if god obliges the delivery will happen. post multiple follow up the delivery happens it takes an hour while the promised time was 20 mins. in the name of compensation they offer rs 9 for a 500 rupees ice cream order which got soiled due to delayed delivery. since there is no option of negative star i am forced to give 1 star
Compliments,very nice app to order
Complaints,"the refund policy is very bad. when you call the helpline, they only say that they are trying to cheat customers. very bad opinion."
Food Quality,horrible experience with this swiggy instamart.. selling expiry products and after asking saying sorry couldn't provide replacement or refund.. cheaters...
Compliments,yas good and prefect srvieses
App Performance,allways saying you are called from an unregistered number
App Performance,horrible experience these days. their software is bs. lots of glitches and orders getting cancelled frequently. 2 out of my last 3 orders have got cancelled.
Food Quality,not cooking as we request to cook
Payment Issues,"i ordered and paid via upi but delivery agent cancelled the order and i didn't get any refund. very pathetic policy, going to delete this app and never use again"
Delivery Issues,worst brand here you gonna do fraud with people after miss place order and miss place item..and then instead of refund you give us 50 inr coupon..so that again we spend money on you..great job swiggy.. i will make sure from next time i'm not going to order anything from you..you give us always disappointment
Food Quality,maine pizza order kiya aur jab delivery boy aaya to maine dekha vah scooty per jahan foot rakhte hain wahan par pizza rakh ke laya aur jab maine usko bola to delivery boy mr aditya ne mujhe bola aise hi milega agali bar bhi order karoge to aise hi launga mere pass photo se agar aapko chahie to main send kar sakta hun
Complaints,swiggy is the worst...never rely on waste service...
Complaints,every tym they are not available 
App Performance,with android 16 released last month which supports live updates with a progress bar in notification it will be helpful if swiggy adopts it soon.
Payment Issues,very fraud instrument customer and management not refund my money it's very light total 1 month not refund not received my call only time give 24 hours or 72 hours customer
Complaints,bahut kharab sarvice h es app ki
Complaints,so sad to this this size of company treating your long time clients so badly
Pricing Issues,3rd class service and also rate are very high all products better use zomoto
Complaints,food serva restaurant partner low grade
Food Quality,sandwich bread fresh hai tasty bhi hai  coffee achi bani hai
Feedback Issues,थिस एप वास रियली वेरी नाइस
Delivery Issues,"prepaid orders often takes 1 to 2 hours delay in delivery! i ordered icecream which shows 20min delivery, it's been 74 minutes and app timer shows 7 minutes."
Food Quality,"the sweet was expired this is very bac if customer are ordered they should keep trust, kindly refund the money"
Delivery Issues,"swiggy delivery agent reached 2 hours late at delivery location,meanwhile he didn't pick up phone calls. and swiggy is charging cancellation charges after this bad service."
Complaints,very bad experience in addons. i was forced to eat french fries and chicken popcorn without my pepsi addon i ordered. i almost spoke to support and escalated to next level. till they are only able to give the exact cost of pepsi alone. but where is the compensation for my lose. i eat the food since i was hungry without pepsi..... atleast some coupons or the pepsi could have been sent to me.... i think swiggy monopoly is not good. we need some alternatives
Delivery Issues,worst delivery app. tech is worst. time management is pathetic. i waited 15 min more than an hour still not delivers. something they say multiprder can't see your address until previous order delivered. pathertic. my address was first route wise
Pricing Issues,amount to high but quality very less
Compliments,super fast delivery for swiggy that's why i love it
Complaints,worst experience with food delivery
Delivery Issues,better discounts along with timely delivery
Payment Issues,worst experiance ever this guys have started charging 100% cancellation fees i clicked to cancel within 30 seconds still they say we have policy made since 2024 aug that we will charge 100% cancellation fees i paid onfront and i'm scammed customer service also says we can't help you who are you guys to force me to take the order ? on cod payment i asked that what if i had never paid you onfront they say then your account will be kept in minus and you will have to pay penalty first.
Pricing Issues,this would have come with a free delivery system for at least 10 km.
App Performance,it won't open when trying to order.
Complaints,delivery boy is very good person
Delivery Issues,missing food items and coustmer service not satisfied
Complaints,very hard to reach customer care at the time of any issues and when you are left in a state of hunger you wish you would have cooked food at home.
Delivery Issues,world making startups to deliver rockets. insse food delivery time pe nhi hota.
App Performance,i am using google pixel 9 pro..no matter what i do the font size does not increase. too small to see. can anyone help
Compliments,best app for food delivery
Payment Issues,free cash is available but when i appy it it doesn't apply
Delivery Issues,no ownership of any order that swiggy undertakes to deliver. not even an acknowledgement when a wrong order is delivered and this happens quite often. would have probably chosen less then 1 rating if there was an option
App Performance,swiggys interface is much better than zomato
Delivery Issues,food not delivered and no one is taking responsibility. what a pathetic service.
Payment Issues,black offers aren't being applied.
Delivery Issues,"hopeless commitment in delivery, i tried to call support partner for 10 minute and 4 time full ring no one reply. worst. i strongly recommended donnot order on swiggy, time of delivery shown 20 minute. however i got after 1 hr. don't order on."
App Performance,whenever i try swiggy instamart shows that sold out unserviceable etcetera
Pricing Issues,"charging exorbitant rates now, platform fee resturant fee , order packaging fee then gst and rain charges. it's not worth ordering from these online platforms now clearly looting customers"
Complaints,they have the very worst service they make fools to the customer even they don't have good help and they never pacifie the customer service and they are just saying same thing repeatedly
App Performance,among many payment and food app swiggy team has good tech team .good app display smooth and user friendly app
Delivery Quality,smart and very quick delivery
Complaints,best customer care and quick delivery
Food Quality,it's so good food come hot and fast  and very tasty
Complaints,"i am extremely disappointed with swiggy’s customer service. i raised a query 4 days ago, but i am still waiting for a response. i tried to contact customer care through the app chat multiple times, but there has been no reply at all. this kind of support is unacceptable. as a regular customer, i expected timely assistance. the issue i raised is still unresolved, and there’s no way to talk to a real person or get proper help i am not recommended to use this app."
Delivery Quality,not available i'm my location bad service
Complaints,"i ordered the food by mistake the food delivery shows 40to50 min tym, i contacted soon toswiggy helpline with in seconds the order is placed i told about my concern they didnot respond good manner, i told to cancel my order without ready the food but chat support executive didn't agree with that cancel order if cancel means cancellation charges applicable if you pay means only we cancel orelse the cancellation charges will be added to your next order he said.very worst experience, don't order."
Delivery Issues,amount will not be refunded.. its a fraud. delivery boy order not delivered
Pricing Issues,every item is very costly
Service Requests,popular maida need a large quantity pls help it ...very happy to use this app
Complaints,"do not use this app. now 500 people my followers have distigushed the fact, are not using this just just because we all are facing cheating from swiggy and they all did too. this app has no good quility and quantity tracking. behuroz and swiggy never refund the amont for their not delivered food order."
Payment Issues,"02/07/2025 at 8:51 pm i was looking for ice cream from swiggy apps to order, but by mistake another ice cream was ordered since the pay later option was set. i immediately canceled it, but when i asked for a refund, it said there would be no refund. then i asked to re-order the order, but they said that it was not possible. cheating business is like that."
Delivery Issues,worst app ever. for last month almost many orders are wrong and they close chat and say we will get back to you on email. but no update on email very false behaviour from swiggy team.
Delivery Issues,"delivery is not done properly or on time, very unresponsive customer care. i have sent one mail to the supporting team on 14th june 2025. up to now no response."
Food Quality,"let me taste the product and repeat it then i will be in a better position to rate. on the face it looks easy, still need to test it again."
Delivery Issues,don't ever use this app again.... zomato is way better then swiggy..... before swiggy was good but not they don't care about there clients... my order is always late now by 20-25 minutes. and food always cold.... wost app.
Compliments,super best food delivery aap
Complaints,getting hold of customer support is very hard and they are very rude and disconnect the call without resolving the issue. they dont even send us to give feedback even when we have selected option to give feedback.
Delivery Issues,not delivering fast and instamart not present in shankarpally
Delivery Issues,very bad experience i'm also member swiggy black mera order aaj 2 ghante m aayea how can belive and eat never do again order this app very bad experience never do
Complaints,worst customer support service. have been trying to get a resolution for wrong delivery of my order and getting no response. everytime the representative closes the conversation.
Compliments,"nice user friendly app, timely delivery"
Delivery Issues,"very bad service from instamart, first they sent the wrong product and after sending multiple mails they refused to accept their mistake and provide replacement, other quick commerce apps are much better"
Payment Issues,i ordered food but refund is not working. simply said refund is not possible
Complaints,no connect with customer with the new update
Delivery Issues,"worst experience with swiggy restaurant viz. maharashtrian bhakri, nerul, navi mumbai. i ordered full chicken lollipop. the restaurant didn't cook even after an hour. what do you expect more?"
Delivery Issues,"instamart is the worst. they don't deliver and app shows it is delivered. after 30 min., after i called customer care, they said they will deliver in some time and they can not offer any other help."
Complaints,no human agent to contact for customer support. only text chat with machine responses is available. issues never get resolved.
Delivery Issues,such a bad app and service. after placing the order i have been waiting for 1h30m later order was cancelled at that time i was in full hungry mode
App Performance,"complicated app, impossible to access by normal people like me"
App Performance,can't cancel the order if we order by mistake
Delivery Issues,"worst app and service, i ordered a gala broom and they delivered a local one which had a crack inside , i complained and send them photos till now the broom was fine after that the broom got broken and delivery boy took photo of broken one then i never got any money back or original broom which i ordered and the complaint was closed. worst experience"
Compliments,lovely experience and also the delivery partners are great and hard working and are very polite in nature..
Complaints,worst app and worst service not even one star deserve it
Compliments,use ful aap for instant problem solver
Payment Issues,"they gave me cassata ice cream as a free gift , for which coupon was applied. after making payment, they said the coupon value not met, so the same was removed from order. is it not fraud. never expected this from swiggy"
Pricing Issues,definitely don't use to order online when you can reach the restaurant or it's nearby.....too much extra amount added to the restaurant price....actually it's doubled what actual and what final price they deliver....even hotel is nearby ..... 50 to 45 rs extra added to food price without other addition like gst and delivery fee
Payment Issues,"such a fraud app. cancelled the order within 5 seconds, and charge me the full amount as cancellation fee. never trust and use this app anymore. they never shows any cancellation policy."
Compliments,delivery is super fast...time saver
Complaints,"this is my worst experience, i waited executive manager response for my query, they can't respond immediately eveni waited for 1/2 hr but they can't responded.. it is worst...."
Delivery Issues,too many order cancellation after 40 minutes of order received
Complaints,no wat to talk to customer care representatives only bots repeating the same nonsensical loop
Food Quality,too expensive now a days food quality is also no more reliable
Complaints,"swiggy black is totally useless & scam has zero benefits, users please don't fall for that"
Payment Issues,"by mistake order was placed, tried to cancel order instantly, however to my surprise charging same amount as cancellation fee as food amount. uninstalling the app"
Delivery Issues,my orders are always delayed for atleast 10 mins than the eta. the app keeps on increasing the time and then shows on time delivery. i hope you can work on this.
Payment Issues,"they are scammers.....even though the mistake is yours but still cancellation has to be charged customer if you can't deliver the parcel even after half an hour instead of 15 minutes, what is the customer's fault if they cancel it...if this isn't scam, then what is?#stop robbing people in the name of cancellation fees...."
Delivery Issues,i am order mutton and delivery chicken bad no order any one foodway for bhandup location
Complaints,"good service by sweegy workers, good  employee of sweegy"
Delivery Issues,wrong order and wrong address delivery is the commonest thing with this app.
Complaints,this is a very great apps for home delivery
Payment Issues,frauds never applied coupons showed
Complaints,very good app and very good service thank you swiggy
Delivery Issues,used to love this app. now it always seems that i have to wait for the delivery guy to deliver a swiggy order somewhere far away before i get my order. swiggy also does not mention the time properly. if there is a delay from their end they will readjust sometime and never admit that they have not delivered on time. this sneaky behaviour is very sad. plus what is with the horrible scooter icon that on the map? it is so hard to find out where the delivery guys is with the random changing designs.
Complaints,the fund return policy after food cancellation is very bad.you should give some time to cancel the order if the food isn't started to prepare
Complaints,mujhe sarvice achi nahi lagi
Payment Issues,very very bad my payment was not refunded
Delivery Quality,"repeatedly delivery was poor. i was using swiggy to get all my needs, never used competitors. lately, they are just incorrigible."
Payment Issues,worst service worst payment gateway. tried 4 times paying for a order but every time payment error
Payment Issues,"worst policy and worst experience. i ordered some food and my kid accidentally cancelled the order within a min but from your end, refund was not possible because of ur policy. it happened accidentally within 5 min"
Complaints,pathetic delivery service. i made an order today and delivery executive by name of bakshish singh came and delivered the order. but on the other hand he was so casual on his approach while talking to me and also talking on the phone with someone and using abusive language. so you need to train your delivery partners. they are going to someone's home or office or shop etc they have to maintain decipline. very disappointed
Delivery Issues,very poor response in the peek hours and the delivery time is not maintained as shown in order booking time
Payment Issues,very froud app my. i cancelled my order and this app no return my money.. very disappointed.. same on app .. aise app ban ho jana chahiye
Delivery Quality,"bad experience, they have only few delivery partners"
Food Quality,i reported when i received spoiled food but no action taken
Pricing Issues,don't purchase any item through the swiggy...they are looting the money from people. huge price difference between other e-commerce platform. i requested please go directly to restaurant and provisional stores. i have paid 50% more money for purchased items.
Payment Issues,free cash never getting applied
Compliments,nice dilivery and give dilivery in 10 min.. good thing for our... thanku swiggy 
Delivery Issues,worst food delivery app with 1hr plus delivery time and customer care is of no use.moves to zomato and enjoying a lot.
Delivery Issues,waiting for 1 st order
Pricing Issues,less offers that too on high purchase orders.
Complaints,third class response from customer care and responses from delivery agents are horrible.
Pricing Issues,discount mai zamato se acha hai 🤗🤗
General Feedback,"better avoid, use kirana stores"
Payment Issues,worst app they charged cancellation fee as a whole order amount which was 617 rs. very poor customer care service do not order anything from their app
Pricing Issues,the one star is for increasing the membership charges every time and still not delivering on time or actually giving the people the benefits of the schemes. not buying your membership again.
Compliments,"discounted rate, variety of products available, on time delivery."
App Performance,cart waala ui aur wo cash dene waala ui sahi kar jo bhi krra hai ui sahi kar paile
Service Requests,add scheduled delivery that was good for people
Compliments,this is the best food for giving us the time warana bahut log to bina kaye sote .
App Performance,not able to get an otp to login
Complaints,slow as a snail. steal as a robbers pathetic customer care
Pricing Issues,delivery charge and tax is tooo high
Delivery Issues,"swiggy gives me a pathetic 26 rupees coupon as compensation after i received a small size pizza when i ordered a medium. on top of that, that generous 26 rupees coupon was only valid for a week. i have stopped using swiggy and zomato now."
Compliments,delivery and offers both are fine
Pricing Issues,excess tax n delivery charges
General Feedback,i would have rated it as 0 star if i could
Delivery Issues,i ordered and waited for 2hrs and the delivery partner wasn't picking my call. i was hungry so order that's what the purpose of online delivery and now after two hours my order got cancelled. what the hell is this?
Food Quality,swiggy gives best offer but restaurant not take a good food
Compliments,thank you for fast delivery
Complaints,deserve less than one star
Delivery Issues,worst delivery service now.. they are giving 2-3 orders and give food too let..
Payment Issues,cash on delivery not happening
Complaints,no customer care number. just chat bot. which is unable to understand my issue
Delivery Issues,worst ever app for food or instamart they don't take any responsibility of your order item they just want to take money and then if their fault is there then also they will take cancellation charges or else wait for more than 2 hrs for food and still showing assigning partner
Complaints,"pathetic customer care by swiggy. not once but multiple times. orders gets delayed inadvertently, partial orders gets delivered. swiggy and the restaurant takes full payment. but refuse to compensate for the partial order. customer care reps simply ask to write email and close conversation without any resolution. when trying to reach over call, the call gets disconnected after mentioning no active order uninstalling right away."
Delivery Issues,cancellation ka system bekar hai bhai.ek dam bekar app. food waste nai ja raha fir bhi kuch bhi dikhakar batakar bolte hai accept nai kiya to bekar jayega bhai. ekdam bekar system hai
Pricing Issues,lowest price but test good
Payment Issues,"waste of money do not download because if you placed order by mistakenly when you want instantly cancel that order instant they are not cancelling your order, they cancel order when it is picked up from delivery boy and after that they will charge of that order in next order as cancellation fee and saying this is swiggy policy"
Delivery Issues,it was really bad experience with this app they delayed ur order for no reason when u go for cancellation they charge u more than ur order ammount and this is not enough their delivery egent behave is worst than expected
Complaints,third class service on swiggy dine in i have applied for swiggy one membership but then to they didn't booked my table on dine in neither i got swiggy dine in offer kindly don't buy swiggy one membership
Compliments,great service experience in few minutes delivery reached at my door. with full sefe without any damages while heavy rain is there.
Delivery Issues,bahut hi bekaar delivery time hai 30 minutes ka delivery bolke 2 ghante lagate ho
Compliments,right xpress deliver good aapon warking
Payment Issues,i have ordered from your app it's by mistake order. amount is deducted from my account and i cancelled the order you charge full ordered amount. and not give a refund also it's a very bad service
Delivery Issues,it's been 35min i order still delivery is not assigned... it was showed as it will be delivered in 35min worst service.. can't deliver but takes orders
Food Quality,"i had placed an order yesterday for my friend where he received bad quality fried rice , as it was late night i went sleep the next day when i came to know about the issue and contacted customer support there was no resolution provided and only got their apologies...i have given good reviews on previous orders also but when an complaint raised no help recieved...worst service provided by swiggy team ..."
Compliments,swiggy is best food app and all the swiggy boys (partner) are best specially (rajesh bhai.p.makwana) is best and good dilevery partner please increase his salary { i mean promote it } thanks to rajesh bhai .p.makwana
Payment Issues,"waste of time, not adding credit card details"
Payment Issues,not available in cash on delivery in rohtak but good
Complaints,worst services in few areas.
Complaints,dont use it just don't worst application
Delivery Issues,worst app ever i ordered food for my family the app is showing delivered but i didn't received my order what kind of stupidity is this and neither the customer service nor the delivery guy is picking up the call
Payment Issues,worst experience. my order got placed by mistake i went to cancel order immediately within seconds they just started popping up questions and taking full amount as cancellation fee. never save your payment methods in swiggy. bad helping policy
Delivery Issues,less offers delayed delivery today i ordered late night and it came late i dont mind cause it's late at night i understand being late but in general many times it's late
Delivery Issues,i wish i could give 0 stars. their delivery time is a joke just to fool customers and make them order items. if it shows 30 mins then it will easily take 1 hr. it is a scam.
Food Quality,instamart prashant vihar is delivering expired products. pls be vigilant before taking the parcels. continuous complaints have been reported to swiggy but nothing against it has been done.
Pricing Issues,"worst experience every time i place an order. please don't try this app; instead, we can go and get our orders at restaurant prices instead of swiggy's inflated prices. they give offers on inflated prices. i compared it personally and stopped using this app."
Payment Issues,"i ordered some items from swiggy instamart but the agent cancelled it himself and i did the online payment but my money was not yet returned. i also talked to the agent and he said to wait for at least 2 hours but i'm writing now the next day, till now i haven't recieved any msg from my bank i'm really disappointed with swiggy this time."
Food Quality,food for hungry people... good job....
Delivery Quality,so nice! fast order delivered and so nicely 
Compliments,nice  daily visit the app very very super app
Delivery Quality,rraite time delivery and good communication
Complaints,today i had horrible experience witj this app and delivery partner which on my society gate and not delivered still i conversation with thses guy's and they are aren't connected to manager on google they have fake e-mail id and contact number of the ceo / md fraudulent this swiggy creu members all the team only published and pramotion . they need to earn money  only but no one gutts to take charge and talk front .
Pricing Issues,jo amount dikhta h uska 4 guna amount lgta h
Delivery Issues,worst app and service ever . they always club the orders and the delivery takes more time.
Delivery Issues,swiggy assigns delivery agents after 45 mins
Complaints,"they don't supprt once ur food is ordered, then u are alone"
Delivery Issues,iwell order food on swagath resterent swiggy person bring another restaurant food bring
Delivery Issues,"delivery time is shown just for sake of making customer fool, but actually they will take more than doubled time"
Complaints,customer care wale mhu pe call kat dete h
Compliments,my best hero in chennai frd phone missing other side thanks for swiggy delivery partner enda kuduthuraru 100% god bless you
Payment Issues,"one of my case is about the order cancellation due to delivery partner not available in that area,how can you take cancellation charges from me? there is only a small mistake from my side. i had placed the order, right? but you are not able to deliver it on time, so why should i pay extra charges for that?"
Delivery Issues,too slow due to multiple deliveries
Complaints,very very unreliable app for food delivery. just a disaster. customer service worst. if anything missing they don't arrange refund. they want to give coupon which is useless.
App Performance,location awareness is very poor
Delivery Issues,"do not buy any shoes,clothes and electronic items cheating saying 8 size no for my son of 9 class but received 1 class student size shoes"
App Performance,i am unable to login my account from past few months its showing too many log jn attempts from past few months and i am unable to log in my swiggy account
Complaints,please make customer care more efficient
Complaints,worst experience... initially swiggy use to handle delivery.. but now they refuse to take responsibility of delivery and put it on a restaurant.. don't order from swiggy
Food Quality,delivery is on time and fresh 
Complaints,"recently you have stopped taking responsibility for some items not being delivered, then why should i pay you for any convenience. will start ordering directly from the shop, which is just one phone call away."
Compliments,osm app you can easily deliver to food at home
Pricing Issues,"guys ..for emergency purposes if you don't care about your money this app is great .. otherwise they loot your money .. 1) swiggy black membership: they says faster delivery, instant response, and best discounts ,coupons but i saw regular delivery time , unattended responses, and high prices then regular to cover free delivery charges , and no coupons 2 ) if your order is missing or any wrong item was received swiggy won't take any responsibility they just want us to give rating to restaurant"
Food Quality,delivery on time good service
App Performance,when trying to place an order and want to cancel the payment order got placed without payment very bad application.
Payment Issues,worst experience if you want to cancel your order then they don't back your money they
Food Quality,food good not cold before time i am impressed good job swiggy
Compliments,best food app....for doctors like me...
Service Requests,offer kese use kare uska ek dedicated video apne youtube channel pe upload kare please 
Food Quality,very good i like it and food is very taste thanks
Pricing Issues,swiggy provides many offers at reasonable price
Delivery Issues,delivery is late most of the time.
Delivery Issues,order के time delivary time 20 minute show karta है 1 घंटे me bhi order नहीं आता है customer care से बात करने me wo refund का promise karta है उसके 30 minute me delivary man order leke aa jata hai refuse करने पर पूरा paise kha जाते hai refund नहीं करते है कई बार तो delivary man iteam delivered bata देता है और deliver bhi nahi होता है delivary man के कारण ये app बिल्कुल फर्जी hai इसकी जगह to zomato badiya hai customer support पूरा hai
Delivery Issues,i ordered food and i got my ordered after 45 min delay over estimated time showed and the quality of one of the item in the order list is terrible. poor management system with poor time answer customer service. included this also the delivery driver not giving the current time data regarding the order pickup. very disappointing and pathetic food delivery company. this is my last and only order from this. and also no refund over order delay.
Delivery Issues,"recently the app got worse again with order grouping. im not against it as it helps deliver more orders at once. but the way swiggy routes the orders is absolutely pathetic. it sets the farthest address as the first delivery point even though my house is closer to the restaurant. by the time the delivery agent delivers that order and comes back, the food is cold. we can't even complain about it as the help is blocked by ai bot and it doesn't allow connection to customer care"
Payment Issues,"absolutely a corporate scam. just got scammed for 582 rupees in the name of cancellation. no services offered, no food offered and for a cancellation within 30 sec 582 scammed from my account."
Payment Issues,mai ordar kiya tha 402 ka pizza mera chote bhai ne ptaa nahi kon kon sa option select karke cancel kar diya tho swiggy vale ne 402 pura cut kar ye time mere pass 402 hi tha account me na tho mra pizza dere na tho paisa
App Performance,"it works without app in browser, doesn't force to use app."
App Performance,it's 11 here. the otherz app does not show these outlets
Delivery Issues,"initially the app was working really great but in the last few days orders always get delayed and the delivery guy never picks the call. along with that, no one caters to my issues. there is no one to talk to and register complaints about. it has become so annoying"
Complaints,poor service and they want full payment
Compliments,you are doing good service
Delivery Issues,yah bahut let pahunchata hai pizza yah meri shikayat hai
Pricing Issues,very critical too use. and very much low to offers on 1st order
Food Quality,good app and very tasty food
Complaints,one time me order but not good service swiggy food
Pricing Issues,discount not given and price is to high
Delivery Issues,very bad experience items missing cases swiggy not support they are asking can't support this mater why use this application useless
Complaints,"no 1 fraud app plz dnt use swiggy,...they will accept orders in d mid night and they will cancel orders and takes too much of tum to refund money,....dnt go for swiggy,and ther z no customer support,...they will juz say to wait for 72hrs and after that no response"
Delivery Issues,i love that the orders are delivered in time
Delivery Issues,i ordered chicken and was given chocolate pancake. there is no executive to talk to they say wait 6-8 hours now what kind of service is this
Delivery Issues,use this service if you want to keep waiting for your food perpetually. otherwise use zomato.
Compliments,buote aacha aap ha swiggy
Delivery Issues,"doesn't deliver in time, doesn't let you cancel even after repeated requests, horrible customer service experience"
App Performance,no proper details on orders..only banner and offers there
Payment Issues,worst updated policy - no refund on cancellation within first 5 minutes of order
Delivery Issues,"be it food delibery or be it instmart , it's worst of all i ordered 30-35 mins back from instamart but didn't recieved the order. cancellation process is tiring and no one will pick up phone to talk and chat support is worst of all no one replies on time . i had memebership since a year but now i think i'll never gonna take it again"
Delivery Issues,this is worst app i ever use oder address pe delever nhi kr pate hume bulate hai ki yahan ajao waha ajao or nhi jao tow oder cancel kr dete hai aur refund me bhi nhi dete
Payment Issues,"i have been using swiggy for a long time but i'm super disappointed today, lost faith in them as they have started scamming. i am glad rapido also opens a new option soon for ordering food. at least zomato is honest and upfront with charges. folks please check your payment order carefully with slight hint swiggy is ready to scam."
Delivery Issues,third class service... i ordered late night food and order cancel after half hr... now i can't even ordered form another hotel...
Delivery Issues,third class service. taking order but unable to assign delivery partner and keep waiting for long time without any solution.
Delivery Issues,"always delayed delivery, worst swiggy service"
Delivery Issues,i placed my order but it was cancelled at the last minute by swiggy.
Compliments,awesome offer nd fast delivery
Payment Issues,the castomer service of the app is very fraudulent. i recently put a wrong address during order and immediately i cancelled it... still they deducted the whole amount as penalty... which is totally unfair and fraudulent behaviour.
Delivery Issues,sometimes order are too late and sometimes i need to guide him for my order.....and sometimes cod option is not available but overall survice is best
Delivery Issues,"i have been ordering from swiggy since 3 years... i had the best in offers because of it's premium membership... i've ignored more than enough of their delays... but last time i waited for 80mins and swiggy gave me trash of 34/- coupon on my next order along with my refund... i believe it's time to leave swiggy and go back to zomato, but i see my friends can order from more restaurants that swiggy and they have pretty cool offers for their premium members with no regrets."
Delivery Issues,we will write 5 star but send me a order exact 10 minutes
Food Quality,delevery thoda time lagta hai food best hai
Food Quality,"the service was very poor, my packet was teared. i informed but no exchange and no refund. so please download carefully."
App Performance,tracking map is not good please create and add some good map like zomato
Complaints,the worst serviese ever...i ordered an icream...it was completely spilled due to the delivery boy...because he went somewhere...after complaining...finally got spilled icream...after half an hour of struggling reached customer support.. they made a replacement...after 1 hour ...again contacted customer care...no resolution....they simply cancelled the order and no refund made...i am still waiting with my melted ice-cream..i decided to never buy any food from swiggy...and i am uninstalling it....
Complaints,this is worst app in playstore and also service is not good
Compliments,excellent time management n delivery system appreciate 
Payment Issues,the worst app for the online food . inki itni gtiya policy h ki tumne glti se glt address pr order place kia aur phir within one minute they will charge full amount. vo to kuch nahi ush se bhi upr inki customer support. vo repeat ek hi line bolenge hr 5 minutes jaise chaman ho .....
Compliments,good apps very will good service time delivery
Delivery Issues,"frequent delay in orders, because of multiple deliveries in a single ride. now orders are partially delivered, and customer care is just an automated response. now, restaurants are also free to cheat."
Delivery Issues,"useless app, not delivering or delivering very late"
Compliments,very quick and fast service 
Delivery Issues,i order food from restaurant and deliver from another restaurant
Payment Issues,"ordered ice cream on swiggy and cancelled it within 9 minutes because i changed my mind. still, they charged 100% cancellation fee. the order was not even out for delivery, and i feel this is very unfair. swiggy should not charge full amount if the cancellation is done so quickly. feels like cheating. very disappointed."
Pricing Issues,the delivery is awesome the products are great but there is no discount and there is no coupon that is beneficial for me
Complaints,we ordered food but didn't receive and i'm trying to claim refund but not able to get the customer care and it's frustrating to see how pathetic the app would be. please don't order from this app it's absolutely waste of time and money.
